id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,注册成功后登陆app，点击社区，点击商城，点击左上角搜索图标，输入“数学”，搜索商城内的商品，结果列表中有一些与搜索关键字不符的结果。,注册成功后登陆app，点击社区，点击商城，点击左上角搜索图标，输入“数学”，搜索商城内的商品，结果列表中有一些与搜索关键字不符的结果。,审核不通过,7,2016-04-12 15:29:44
2,注册成功后登陆app，点击右上角放大镜图标搜索，输入“老虎”，搜索，结果列表中有一些与搜索关键字不符的结果。,注册成功后登陆app，点击右上角放大镜图标搜索，输入“老虎”，搜索，结果列表中有一些与搜索关键字不符的结果。,审核通过,7,2016-04-12 15:29:57
3,在搜索栏中输入常用符号搜索成功,点击首页右上方的搜索，在搜索栏中输入常用符号搜索成功。系统没有提醒你搜索的东西部存在。,审核通过,7,2016-04-12 15:34:05
4,编辑资料上方的头像与我的页面的头像不一致。,先设置好我的头像后—再点击头像—编辑资料—家长头像—从相册中选取一张上传，发现修改后编辑资料上方的头像与我的页面的头像不一致。,审核通过,6,2016-04-12 15:35:53
5,用户头像上传后无法修改成功，头像没有变化。,注册成功后登陆app，点击左上角“我的”，点击头像，点击“编辑资料”，在“编辑信息”页面，点击头像修改，上传后无法修改成功，头像没有变化。,审核通过,6,2016-04-12 15:36:07
6,打开app，设置宝贝年龄，下拉选项中竟然可以选2016之后的年份，这个明显不可能的啊，用户操作太不友好,打开app，设置宝贝年龄，下拉选项中竟然可以选2016之后的年份，这个明显不可能的啊，用户操作太不友好,审核通过,12,2016-04-12 15:36:23
7,随便点开一个故事，播放任何一集，然后点内容页面的分享，下方会弹出很多分享选项，这个时候页面布局不合理，看截图,随便点开一个故事，播放任何一集，然后点内容页面的分享，下方会弹出很多分享选项，这个时候页面布局不合理，看截图,审核不通过,0,2016-04-12 15:37:16
8,随便点开一个故事，播放任何一集，然后点内容页面的分享，选择分享到腾讯微博，弹出腾讯微博授权的对话框不合理，需要在框内下来才能看到账号密码输入框，看截图,随便点开一个故事，播放任何一集，然后点内容页面的分享，选择分享到腾讯微博，弹出腾讯微博授权的对话框不合理，需要在框内下来才能看到账号密码输入框，看截图,审核不通过,0,2016-04-12 15:37:28
9,不登录，点我的，点我的工爸币，会出现没有网络，点其他的，如我的图书，就会跳到登陆页面,不登录，点我的，点我的工爸币，会出现没有网络，点其他的，如我的图书，就会跳到登陆页面,审核不通过,11,2016-04-12 15:38:26
10,在安卓5.1的系统中，播放后台时，系统状态栏显示的图标是白色的正方形,在安卓5.1的系统中，播放后台时，系统状态栏显示的图标是白色的正方形,审核不通过,18,2016-04-12 15:39:02
11,点击“设置”中的“亲，打分鼓励下”，出现闪退。,手机型号：sony z1  网络：wifi  操作步骤：打开软件——点击上方“我的”——点击下方”设置“——点击”亲，打分鼓励下“，出现闪退,审核通过,15,2016-04-12 15:39:18
12,在我的收藏里的话题无法在我的收藏里删除，必须进入话题才能取消收藏,在我的收藏里的话题无法在我的收藏里删除，必须进入话题才能取消收藏,审核通过,12,2016-04-12 15:40:18
13,播放过程中暂停，按home键退出，再次进入时，不是上次的界面,播放过程中暂停，按home键退出，再次进入时，不是上次的界面，进入的是登录注册界面,审核通过,16,2016-04-12 15:40:49
14,在关于我们中的关于口袋故事一项中，无法长按扫描二维码需截图才能扫码,在关于我们中的关于口袋故事一项中，无法长按扫描二维码需截图才能扫码,审核通过,17,2016-04-12 15:41:24
15,在关于我们中的关于口袋故事一项中，里面的联系方式，如电话，网址无法直接打开或复制，不方便操作,在关于我们中的关于口袋故事一项中，里面的联系方式，如电话，网址无法直接打开或复制，不方便操作,审核通过,17,2016-04-12 15:41:39
16,任务软件已经打开过，电脑上也点击开始，但是点击下一步还是提示：请先下载并打开待测app，只有退出软件两次再进入点击下一步才能进入下一步。,任务软件已经打开过，电脑上也点击开始，但是点击下一步还是提示：请先下载并打开待测app，只有退出软件两次再进入点击下一步才能进入下一步。,审核通过,13,2016-04-12 15:41:51
17,播放过程中，按home键退出，再次进入时不是直接进入，会有启动的两个界面,播放过程中，按home键退出，再次进入时不是直接进入，会有启动的两个界面，期望可以直接进入,审核通过,16,2016-04-12 15:44:13
18,选择第三方登录为微信登录时，确认登录后，又返回到登录界面后进入到相应的界面,选择第三方登录为微信登录时，确认登录后，又返回到登录界面后进入到相应的界面，期望直接可以进入app,审核通过,5,2016-04-12 15:44:24
19,公共消息的标题显示不全,进入公共消息界面，点击公共消息，进入相应的界面，标题显示不全,审核通过,16,2016-04-12 15:44:31
20,播放故事的时候app闪退了。,播放故事的时候app闪退了。试着播放不同的故事，出现了一次闪退。小米手机3.,审核通过,18,2016-04-12 15:44:48
21,播放时，点击右上角的三个点按钮，然后点击故事详情，进入的不是详情，而是故事列表。,播放时，点击右上角的三个点按钮，然后点击故事详情，进入的不是详情，而是故事列表。,审核不通过,11,2016-04-12 15:45:23
22,在填写收货地址时，好像是下滑了一下，上面就出现了一片空白，返回不了，然后不知道又点到哪，又好了。,在填写收货地址时，好像是下滑了一下，上面就出现了一片空白，返回不了，然后不知道又点到哪，又好了。,审核不通过,8,2016-04-12 15:45:36
23,拍照更换头像后，提示头像上传成功，但是退出编辑信息，头像还是没有更换。,拍照更换头像后，提示头像上传成功，但是退出编辑信息，头像还是没有更换，多次更换头像实际都没有换。,审核通过,6,2016-04-12 15:48:48
24,"宝贝信息,生日可以输入未来日期,只要不跨年","登陆app,进入个人中心->宝贝信息,生日可以选择本年的未来日期",审核通过,9,2016-04-12 15:49:05
25,在编辑个人介绍时，点击空白区域键盘根本出不来，必须点击有文字的区域，‘一句话介绍自己’这个区域键盘才会出来。,在编辑个人介绍时，点击空白区域键盘根本出不来，必须点击有文字的区域，‘一句话介绍自己’这个区域键盘才会出来。,审核不通过,1,2016-04-12 15:49:17
26,在抽奖的时候，第二次点击试试手气，提示贝壳不足三个不能进行抽奖，但是一退出又进入又能抽奖了，但我的贝壳币还是只有两个。,在抽奖的时候，第二次点击试试手气，提示贝壳不足三个不能进行抽奖，但是一退出又进入又能抽奖了，但我的贝壳币还是只有两个。,审核通过,18,2016-04-12 15:50:01
27,在个人主页点击下面四岁的宝贝，更换出生日期后，返回提示好像是对什么年龄有限制，然后后面就点不进去宝贝资料编辑界面了。,在个人主页点击下面四岁的宝贝，更换出生日期后，返回提示好像是对什么年龄有限制，然后后面就点不进去宝贝资料编辑界面了。,审核通过,9,2016-04-12 15:53:41
28,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里，点击“收货地址”进入后，在“收货人”后的空白处填写“000”再次填写其他信息时没有出现错误提示信息。填写所有信息后点击“保存信息”显示保存成功。,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里，点击“收货地址”进入后，在“收货人”后的空白处填写“000”再次填写其他信息时没有出现错误提示信息。填写所有信息后点击“保存信息”显示保存成功。,审核不通过,8,2016-04-12 15:54:53
29,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里，点击“收货地址”进入后，在“邮政编码”后的空白处填写“0000”再次填写其他信息时没有出现错误提示信息。填写所有信息后点击“保存信息”显示保存成功。,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里，点击“收货地址”进入后，在“邮政编码”后的空白处填写“0000”再次填写其他信息时没有出现错误提示信息。填写所有信息后点击“保存信息”显示保存成功。,审核通过,8,2016-04-12 15:55:03
30,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里，点击“收货地址”进入后，在“详细地址”后的空白处填写“0000”再次填写其他信息时没有出现错误提示信息。填写所有信息后点击“保存信息”显示保存成功。,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里，点击“收货地址”进入后，在“邮政编码”后的空白处填写“0000”再次填写其他信息时没有出现错误提示信息。填写所有信息后点击“保存信息”显示保存成功。,审核不通过,8,2016-04-12 15:55:13
31,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里突然出现闪退情况并且出现“很抱歉，程序出现异常即将退出”的错误提示信息。,进入软件，点击进入“我的”界面里，点击“个人主页”进入后，点击“编辑资料”，在“编辑信息”的界面里突然出现闪退情况并且出现“很抱歉，程序出现异常即将退出”的错误提示信息。,审核通过,8,2016-04-12 15:55:22
32,进入软件后，在“我的”界面里，“贝壳”的数量显示的是“2个”，但但进入查看时则显示的数量是“19”。,进入软件后，在“我的”界面里，“贝壳”的数量显示的是“2个”，但但进入查看时则显示的数量是“19”。,审核通过,13,2016-04-12 15:56:09
33,宝宝的头像上传后无法修改成功，头像没有变化。,注册成功后登陆app，点击左上角“我的”，点击头像，点击“编辑资料”，在“编辑信息”页面，点击“宝贝信息设置”，点击宝贝头像修改，上传后无法修改成功，头像没有变化。,审核不通过,6,2016-04-12 16:49:04
34,"兑换码输和单引号时,提示网络错误,而非兑换码无效","登陆app,进入个人中心,兑换码输入包含单引号时,提示网络错误,而非兑换码无效,再次兑换时提示兑换码已被锁定",审核通过,3,2016-04-12 16:49:12
35,"无法重置密码,提示验证信息不匹配","打开app,找回密码,输入手机号后发送验证码,输入验证码,进入下一步,输入密码后提示""提供验证信息不匹配""",审核通过,3,2016-04-12 16:49:23
36,"对别人的评论点赞后,再取消,经常会出现取消失败提示","打开某一文章,对别人的评论点赞后再次点击,会取消点赞,但经常会出现取消失败提示",审核不通过,10,2016-04-12 16:49:31
37,"对音乐点评后,进入全部评论,最上面的评论数仍是未点评之前的数","打开故事库->儿歌,进入某一儿歌,点击点评,输入后提交,退回前一页面,点击最下面的全部评论,进去后仍然显示原来的点评数",审核通过,14,2016-04-12 16:49:36
38,对宝贝头像进行设置，从相册中选择一张照片上传，页面弹出得到上传图像路径失败。,我的—点击头像—编辑资料—宝贝信息设置—宝贝头像，从相册中选择一张照片上传，页面弹出得到上传图像路径失败。,审核不通过,6,2016-04-12 16:49:41
39,扫描口袋故事二维码获取下载链接失败，二维码点击不动。,我的—下端点击设置—关于我们—关于口袋故事—点击扫描二维码获取下载链接，二维码点击不动，链接获取失败。,审核通过,17,2016-04-12 16:49:50
40,点击摄影师波比，查看详情页面弹出没有你要的东西，请点击再试试。,我的页面—口袋精灵—点击摄影师波比—点击查看详情，页面弹出没有你要的东西，请点击再试试。,审核不通过,11,2016-04-12 16:49:55
41,图框将改选的改字遮住半边。,我的—我的订单—取消订单—发现图框将改选的改字遮住半边。,审核通过,10,2016-04-12 16:49:59
42,工爸商城介绍页面不播放，一直停留在loading中。,社区—商城—点击页面右上端的？进入工爸商城介绍页面不播放，一直停留在loading中。,审核不通过,11,2016-04-12 16:50:04
43,点击收货地址页面弹出没有你要的东西请点击再试试。,我的—个人头像—编辑资料—点击收货地址页面弹出没有你要的东西请点击再试试。,审核不通过,8,2016-04-12 16:50:10
44,打开app，首页社区，随便点一个项目，时不时的会提示没有数据，在点一下才能刷新出来,打开app，首页社区，随便点一个项目，时不时的会提示没有数据，在点一下才能刷新出来,审核通过,11,2016-04-12 16:50:17
45,打开app，搜索，输入“阅读”、“五条”等等，搜索结果中会出现与关键词无关的结果,打开app，搜索，输入“阅读”、“五条”等等，搜索结果中会出现与关键词无关的结果,审核不通过,7,2016-04-12 16:50:22
46,在家长社区分享任意话题到微博，无法成功分享,在家长社区分享任意话题到微博，无法成功分享,审核通过,0,2016-04-12 16:50:26
47,社区里面任一个话题的图片无法保存至本地,社区里面任一个话题的图片无法保存至本地，社区里面任一个话题的图片无法保存至本地,审核通过,12,2016-04-12 16:50:30
48,在商城里的商品中的标题最后一行的字被截断,在商城里的商品中的标题最后一行的字被截断，无法显示完整,审核通过,7,2016-04-12 16:50:35
49,修改过个人介绍后，无法修改成无签名,修改过个人介绍后，无法修改成无签名。修改过个人介绍后，无法修改成无签名。,审核通过,1,2016-04-12 16:50:40
50,任务的第一步和第二步软件的图标都不显示，从头到尾都没有显示过。,任务的第一步和第二步软件的图标都不显示，从头到尾都没有显示过。,审核通过,13,2016-04-12 16:50:46
51,在给自己更换头像时，选择相册更换，出现的不是预览相片，而是s开头的字母。,在给自己更换头像时，选择相册更换，出现的不是预览相片，而是s开头的字母。,审核不通过,6,2016-04-12 16:50:50
52,在我的-设置中，点击检查诊断-开始检测，就会出现闪退，第一次没有提示，后面就会有一闪而过的停止运行提示。,在我的-设置中，点击检查诊断-开始检测，就会出现闪退，第一次没有提示，后面就会有一闪而过的停止运行提示。,审核通过,18,2016-04-12 16:50:55
53,播放界面点击右上角的按钮，然后点击故事详情，进入的并不是故事详情，而是播放列表。,播放界面点击右上角的按钮，然后点击故事详情，进入的并不是故事详情，而是播放列表。,审核不通过,11,2016-04-12 16:51:01
54,qq授权登陆后，发现软件没有获取qq的头像。,qq授权登陆后，发现软件没有获取qq的头像。,审核通过,6,2016-04-12 16:51:07
55,在更换头像后进入任务界面，发现任务界面的头像没有更换。,在更换头像后进入任务界面，发现任务界面的头像没有更换。,审核通过,13,2016-04-12 16:51:11
56,在填写个人介绍时，必须点击'一句话介绍自己'这几个字的内容范围，键盘才会出来，点击框内的空白区域，键盘完全出不来。,在填写个人介绍时，必须点击'一句话介绍自己'这几个字的内容范围，键盘才会出来，点击框内的空白区域，键盘完全出不来。,审核通过,1,2016-04-12 16:51:18
57,"1首页点击上方“我的”
2点击设置
3点击关于我们
4点击工程师爸爸网络服务协议，格式有错乱，有些段落前空两格（比如1，3，4..），有些段落前未空格（比如2，6，7....）","1首页点击上方“我的”
2点击设置
3点击关于我们
4点击工程师爸爸网络服务协议，格式有错乱，有些段落前空两格（比如1，3，4..），有些段落前未空格（比如2，6，7....）",审核通过,15,2016-04-12 16:51:34
58,"1首页点击上方“社区”
2点击家长社区
3点击教育问答
4点击【问答】要给孩子用安抚奶嘴，此条信息提示有8条评论，而实际只有6条评论","1首页点击上方“社区”
2点击家长社区
3点击教育问答
4点击【问答】要给孩子用安抚奶嘴，此条信息提示有8条评论，而实际只有6条评论",审核通过,14,2016-04-12 16:51:40
59,"1首页点击上方“社区”
2随便点击一条信息
3查看下方评论区，选择一条评论信息回复，而此时无法取消引用回复","1首页点击上方“社区”
2随便点击一条信息
3查看下方评论区，选择一条评论信息回复，而此时无法取消引用回复",审核通过,14,2016-04-12 16:51:45
60,"1首页点击上方“社区”
2随便点击一条信息
3查看下方评论区，选择一条评论信息回复，而此时无法取消引用回复","1首页点击上方“社区”
2随便点击一条信息
3查看下方评论区，选择一条评论信息回复，而此时无法取消引用回复",审核不通过,14,2016-04-12 16:51:54
61,"1首页点击上方“社区”
2点击家长社区
3点击活动，查看很多帖子的配图有明显的被裁剪的情况","1首页点击上方“社区”
2点击家长社区
3点击活动，查看很多帖子的配图有明显的被裁剪的情况",审核通过,14,2016-04-12 16:51:59
62,"1首页点击上方“社区”
2点击商城
3点击选择商品，点击加入购物车，点击确认添加，很大的概率点击无效，立即购买功能也有此类问题，点击确定购买，无反应","1首页点击上方“社区”
2点击商城
3点击选择商品，点击加入购物车，点击确认添加，很大的概率点击无效，立即购买功能也有此类问题，点击确定购买，无反应",审核通过,14,2016-04-12 16:52:03
63,锁屏后重新进入程序后，播放界面不能调出。,"1.把播放界面缩小到在下方
2.切换到桌面或其他程序，然后锁屏
3.从下拉状态栏点击程序，界面会重新加载（出现工程师爸爸）而不是直接显示退出前的界面（这个可以不算bug）
4.从下方点击双箭头不能调出播放界面（bug！）",审核通过,16,2016-04-12 16:52:09
64,安装软件，打开软件，播放故事，切换别的app后台，在下拉菜单界面按返回软件，不能直接跳转播放界面,安装软件，打开软件，播放故事，切换别的app后台，在下拉菜单界面按返回软件，不能直接跳转播放界面,审核通过,13,2016-04-12 16:52:14
65,安装运行登陆后，个人中心修改信息，小名提示为[宝贝小名必须在2到10个字符。一个汉字为两个字符。而一个汉字保存不了、,安装运行登陆后，个人中心修改信息，小名提示为[宝贝小名必须在2到10个字符。一个汉字为两个字符。而一个汉字保存不了、,审核通过,9,2016-04-12 16:52:23
66,安装运行登陆后，个人中心，小名提示十个汉字时，小名与修改信息文字重合,安装运行登陆后，个人中心，小名提示十个汉字时，小名与修改信息文字重合,审核通过,9,2016-04-12 16:52:30
67,安装运行登陆后，个人中心进入家长信息。收货地址中的新增收货地址，邮政编码可为中文，没进行校验，可以保存,安装运行登陆后，个人中心进入家长信息。收货地址中的新增收货地址，邮政编码可为中文，没进行校验，可以保存,审核通过,8,2016-04-12 16:52:37
68,安装运行登陆后，个人中心进入家长信息。所在地点中，选择新疆维吾尔自治区城市，地区拉码依前面有三个特殊字符,安装运行登陆后，个人中心进入家长信息。所在地点中，选择新疆维吾尔自治区城市，地区拉码依前面有三个特殊字符,审核通过,9,2016-04-12 16:52:42
69,安装运行登陆后，点我的，进入个人主页，编辑资料下面的文字只显示一截,安装运行登陆后，点我的，进入个人主页，编辑资料下面的文字只显示一截,审核通过,9,2016-04-12 16:52:46
70,安装运行登陆后，点故事区，选择少儿西游记（下）。点赞后，不能取消点赞,安装运行登陆后，点故事区，选择少儿西游记（下）。点赞后，不能取消点赞,审核通过,10,2016-04-12 16:52:52
71,安装运行登陆后，点故事区，选择广播剧，顶部广告图片棚车少年，点击无任何转跳,安装运行登陆后，点故事区，选择广播剧，顶部广告图片棚车少年，点击无任何转跳,审核通过,10,2016-04-12 16:52:57
72,安装运行登陆后，点社区，选择商城，购买一件物品，提交订单后。再到订单详情取消订单，取消原因前的勾选框与文字重合,安装运行登陆后，点社区，选择商城，购买一件物品，提交订单后。再到订单详情取消订单，取消原因前的勾选框与文字重合,审核通过,10,2016-04-12 16:53:06
73,安装运行登陆后，点右上角搜索，选择四大名著，然后选择排序中的评分从高到低，排列顺序不发生变化。,安装运行登陆后，点右上角搜索，选择四大名著，然后选择排序中的评分从高到低，排列顺序不发生变化。,审核通过,7,2016-04-12 16:53:12
74,安装运行登陆后，点社区，选择家长社区。再选择宝贝学。第一个singingphonics进入评论后，再回到宝贝学页面，刷新后评论数没变化。,安装运行登陆后，点社区，选择家长社区。再选择宝贝学。第一个singingphonics进入评论后，再回到宝贝学页面，刷新后评论数没变化。,审核通过,14,2016-04-12 16:53:22
75,登陆进入主界面后，点右上角通知图——公共消息，一周上新预告（4月11日至4月17日），进入后右上角参与讨论，进入后是政协口袋故事界面（明明手机有本软件），不能进入讨论界面。注：通知图标下所有带参与讨论选项界面，均如此,登陆进入主界面后，点右上角通知图——公共消息，一周上新预告（4月11日至4月17日），进入后右上角参与讨论，进入后是政协口袋故事界面（明明手机有本软件），不能进入讨论界面,审核通过,16,2016-04-12 16:53:27
76,进入我的，设置，关于我们，工程师爸爸网络服务协议，排版多处错误,进入我的，设置，关于我们，工程师爸爸网络服务协议，排版多处错误,审核通过,15,2016-04-12 16:53:32
77,进入我的，选择任务，点击右上角问号，进入后如何获得新手任务奖励，第三项排版错误,进入我的，选择任务，点击右上角问号，进入后如何获得新手任务奖励，第三项排版错误,审核通过,13,2016-04-12 16:53:37
78,进入我的，设置，关于我们，版权声明，第四行排版多处错误，首行缩进不够两格,进入我的，设置，关于我们，版权声明，第四行排版多处错误，首行缩进不够两格,审核通过,15,2016-04-12 16:53:41
79,进入主界面，点击社区，随便点一贴子，拉至帖子下面点赞，点击后再次点击，赞能取消，进入任意故事界面，点赞后不能取消（网站点赞后不应该再能取消）,进入主界面，点击社区，随便点一贴子，拉至帖子下面点赞，点击后再次点击，赞能取消，进入任意故事界面，点赞后不能取消（网站点赞后不应该再能取消）,审核通过,10,2016-04-12 16:53:46
80,登陆进入主界面后，点右上角通知图——公共消息，一周上新预告（4月11日至4月17日），多处排版有问题,登陆进入主界面后，点右上角通知图——公共消息，一周上新预告（4月11日至4月17日），多处排版有问题,审核通过,16,2016-04-12 16:53:55
81,点击上方我的，点击口袋精灵，上方介绍文字左侧空白大于右侧，文字未居中,点击上方我的，点击口袋精灵，上方介绍文字左侧空白大于右侧，文字未居中,审核通过,17,2016-04-12 16:54:00
82,点击上方我的，点击我的收藏，点击话题，下方绿色按钮被遮挡,点击上方我的，点击我的收藏，点击话题，下方绿色按钮被遮挡,审核通过,12,2016-04-12 16:54:04
83,点击上方我的，点击我的工爸币，下方显示没有网络，界面不能显示,点击上方我的，点击我的工爸币，下方显示没有网络，界面不能显示,审核通过,15,2016-04-12 16:54:08
84,社区消息为空时，点击右上角的清空，提示确认清空消息吗,社区消息为空时，点击右上角的清空，提示确认清空消息吗，期望提示当前还没有消息可清空,审核通过,16,2016-04-12 16:54:20
85,点击上方故事库，热门电台版块中电台名称未显示全部名称,点击上方故事库，向下到热门电台版块，版块中电台名称未显示全部名称,审核通过,2,2016-04-12 16:54:34
86,点击上方故事库，热门电台版块中点击更多，电台名称未显示全部名称,点击上方故事库，向下到热门电台版块，点击更多，电台名称未显示全部名称,审核不通过,2,2016-04-12 16:54:47
87,点击上方故事库，在最新故事版块中点击更多，部分名称较长的故事未显示全称,点击上方故事库，在最新故事版块中点击更多，部分名称较长的故事未显示全称,审核不通过,2,2016-04-12 16:54:51
88,点击上方故事库，在每日热销版块中点击更多，部分名称较长的故事未显示全称,点击上方故事库，在每日热销版块中点击更多，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:54:55
89,点击上方故事库，在同龄在听版块中点击更多，点击免费，部分名称较长的故事未显示全称,点击上方故事库，在同龄在听版块中点击更多，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:54:58
90,点击上方故事库，在同龄在听版块中点击更多，点击精品，部分名称较长的故事未显示全称,点击上方故事库，在同龄在听版块中点击更多，点击精品，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:02
91,点击上方故事库，在猜你喜欢版块中点击更多，部分名称较长的故事未显示全称,点击上方故事库，在猜你喜欢版块中点击更多，部分名称较长的故事未显示全称,审核不通过,2,2016-04-12 16:55:06
92,点击上方故事库，点击猜你喜欢版块上方的儿童阅读从听开始模块，部分名称较长的故事未显示全称,点击上方故事库，点击猜你喜欢版块上方的儿童阅读从听开始模块，部分名称较长的故事未显示全称,审核不通过,2,2016-04-12 16:55:09
93,点击上方故事库，点击猜你喜欢版块上方的小小男子汉模块，部分名称较长的故事未显示全称,点击上方故事库，点击猜你喜欢版块上方的小小男子汉模块，部分名称较长的故事未显示全称,审核不通过,2,2016-04-12 16:55:13
94,点击上方故事库，点击最下方hello春天你好模块，最下方柴可夫斯基-糖果仙女舞故事未显示全称,点击上方故事库，点击最下方hello春天你好模块，最下方柴可夫斯基-糖果仙女舞故事未显示全称,审核不通过,4,2016-04-12 16:55:20
95,点击上方故事库，点击排行榜，点击热播榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击热播榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:24
96,点击上方故事库，点击排行榜，点击热播榜，点击精品，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击热播榜，点击精品，部分名称较长的故事未显示全称,审核通过,4,2016-04-12 16:55:27
97,点击上方故事库，点击排行榜，点击畅销榜，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击畅销榜，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:30
98,点击上方故事库，点击排行榜，点击睡前热播榜，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击睡前热播榜，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:35
99,点击上方故事库，点击排行榜，点击起床热播榜，点击免费，部分名称较长的故事未显示全称,点击上方故事库，点击排行榜，点击起床热播榜，点击免费，部分名称较长的故事未显示全称,审核不通过,4,2016-04-12 16:55:40
